Tatget Distance: 50, Step Size: 2
0: (x,y) = (0, 0)
1: (x,y) = (-1.84101, 0.781462)
2: (x,y) = (-1.25627, 2.69407)
3: (x,y) = (-3.05385, 1.81733)
4: (x,y) = (-1.08424, 1.47003)
5: (x,y) = (0.593102, 2.55931)
6: (x,y) = (-0.28364, 4.3569)
7: (x,y) = (0.433096, 6.22406)
8: (x,y) = (-0.879022, 4.71464)
9: (x,y) = (-2.49706, 3.53907)
10: (x,y) = (-3.11509, 5.44118)
11: (x,y) = (-5.0277, 6.02593)
12: (x,y) = (-3.03257, 6.16544)
13: (x,y) = (-1.33648, 7.22528)
14: (x,y) = (-3.11849, 8.13326)
15: (x,y) = (-4.14856, 6.41892)
16: (x,y) = (-2.83645, 4.90951)
17: (x,y) = (-1.19814, 6.05666)
18: (x,y) = (0.377879, 7.28798)
19: (x,y) = (1.63652, 8.84227)
20: (x,y) = (0.19784, 7.45296)
21: (x,y) = (-0.217983, 9.40925)
22: (x,y) = (-0.701827, 7.46866)
23: (x,y) = (-2.69422, 7.29435)
24: (x,y) = (-3.34535, 9.18539)
25: (x,y) = (-4.40519, 10.8815)
26: (x,y) = (-4.85509, 8.93274)
27: (x,y) = (-6.14067, 7.40065)
28: (x,y) = (-6.28018, 9.39578)
29: (x,y) = (-6.52392, 7.41069)
30: (x,y) = (-7.30538, 9.2517)
31: (x,y) = (-8.50901, 7.65443)
32: (x,y) = (-6.50932, 7.68933)
33: (x,y) = (-4.83198, 8.77861)
34: (x,y) = (-2.90012, 8.26097)
35: (x,y) = (-2.58726, 6.2856)
36: (x,y) = (-4.33649, 7.25522)
37: (x,y) = (-6.16359, 6.44174)
38: (x,y) = (-7.33916, 4.82371)
39: (x,y) = (-5.39856, 4.33986)
40: (x,y) = (-7.33916, 3.85602)
41: (x,y) = (-6.10783, 5.43204)
42: (x,y) = (-4.84919, 6.98633)
43: (x,y) = (-2.85406, 6.84682)
44: (x,y) = (-1.21576, 5.69967)
45: (x,y) = (-0.564624, 7.5907)
46: (x,y) = (-2.0033, 6.20139)
47: (x,y) = (-0.307207, 7.26123)
48: (x,y) = (1.22488, 8.5468)
49: (x,y) = (-0.775118, 8.5468)
50: (x,y) = (0.842916, 7.37123)
51: (x,y) = (2.01849, 5.7532)
52: (x,y) = (0.814856, 7.35047)
53: (x,y) = (1.56407, 9.20484)
54: (x,y) = (1.4594, 11.2021)
55: (x,y) = (0.312244, 9.56379)
56: (x,y) = (-0.919079, 7.98777)
57: (x,y) = (0.519601, 6.59845)
58: (x,y) = (0.797947, 8.57899)
59: (x,y) = (-0.879394, 7.48971)
60: (x,y) = (-1.36324, 9.4303)
61: (x,y) = (-3.31953, 9.01448)
62: (x,y) = (-3.73536, 10.9708)
63: (x,y) = (-1.93777, 11.8475)
64: (x,y) = (-0.819382, 13.5056)
65: (x,y) = (-0.819382, 11.5056)
66: (x,y) = (-0.36948, 9.55685)
67: (x,y) = (0.281656, 11.4479)
68: (x,y) = (-1.54543, 12.2614)
69: (x,y) = (-1.51053, 14.2611)
70: (x,y) = (-2.16167, 16.1521)
71: (x,y) = (-1.07239, 14.4748)
72: (x,y) = (0.604953, 13.3855)
73: (x,y) = (0.917822, 11.4101)
74: (x,y) = (2.22994, 9.90068)
75: (x,y) = (0.971299, 11.455)
76: (x,y) = (2.11845, 13.0933)
77: (x,y) = (3.43057, 11.5839)
78: (x,y) = (4.40019, 9.83462)
79: (x,y) = (4.81601, 11.7909)
80: (x,y) = (5.99158, 10.1729)
81: (x,y) = (5.27485, 12.04)
82: (x,y) = (4.30523, 13.7893)
83: (x,y) = (4.44474, 11.7942)
84: (x,y) = (3.05542, 10.3555)
85: (x,y) = (2.98563, 12.3543)
86: (x,y) = (1.27129, 11.3242)
87: (x,y) = (-0.669301, 11.808)
88: (x,y) = (-2.20139, 13.0936)
89: (x,y) = (-3.59071, 14.5323)
90: (x,y) = (-2.84149, 16.3866)
91: (x,y) = (-2.70198, 18.3818)
92: (x,y) = (-2.66708, 20.3815)
93: (x,y) = (-4.44909, 21.2894)
94: (x,y) = (-5.32583, 23.087)
95: (x,y) = (-3.91162, 21.6728)
96: (x,y) = (-2.35733, 20.4142)
97: (x,y) = (-4.34637, 20.6232)
98: (x,y) = (-5.06311, 18.7561)
99: (x,y) = (-3.29721, 17.8171)
100: (x,y) = (-3.67883, 19.7804)
101: (x,y) = (-5.67609, 19.6757)
102: (x,y) = (-4.61625, 17.9796)
103: (x,y) = (-6.61594, 18.0145)
104: (x,y) = (-8.19197, 19.2458)
105: (x,y) = (-6.59469, 20.4495)
106: (x,y) = (-6.87304, 18.4689)
107: (x,y) = (-4.91675, 18.8848)
108: (x,y) = (-6.6488, 17.8848)
109: (x,y) = (-5.16251, 19.223)
110: (x,y) = (-3.50443, 18.1046)
111: (x,y) = (-5.38382, 17.4206)
112: (x,y) = (-6.69593, 18.93)
113: (x,y) = (-5.57755, 20.5881)
114: (x,y) = (-7.43192, 21.3373)
115: (x,y) = (-6.0426, 19.8986)
116: (x,y) = (-7.32818, 21.4307)
117: (x,y) = (-6.7769, 19.5082)
118: (x,y) = (-7.2268, 21.4569)
119: (x,y) = (-6.35006, 19.6593)
120: (x,y) = (-4.40947, 19.1755)
121: (x,y) = (-6.23656, 18.362)
122: (x,y) = (-7.85459, 17.1865)
123: (x,y) = (-6.25732, 15.9828)
124: (x,y) = (-6.22242, 13.9831)
125: (x,y) = (-8.08958, 14.6999)
126: (x,y) = (-10.0022, 14.1151)
127: (x,y) = (-11.5565, 12.8565)
